word,word_type,translation,example
trouba,noun (f),pipe,Ta trouba je velmi stará.
žlutý,adjective,yellow,Žlutý květ roste na zahradě.
židle,noun (f),chair,Ta židle je pohodlná.
zrcadlo,noun (n),mirror,Na stole se nachází zrcadlo.
vpředu,adverb,in front,Auto stojí vpředu domu.
nechat,verb,"to leave, to let",Chci nechat klíče na stole.
aspoň,adverb,at least,Chci aspoň jednu šanci.
prázdný,adjective,empty,Stůl je prázdný.
sehnat,verb,to obtain,Musím sehnat více informací o projektu.
víď,verb,see,"Víď, jaké je dnes počasí?"
teda,interjection,well then,"Teda, to je ale překvapení!"
smět,verb,to be allowed to,Můžeš smět jít ven.
dvougenerační,adjective,two-generation,Tento dům je dvougenerační.
vestovat,verb,to invest,Chci vestovat do akcií.
zde,adverb,here,Jsem zde a čekám na tebe.
zatím,adverb,so far,Zatím jsem se nesetkal s žádnými problémy.
hora,noun (f),mountain,Na horu jsme vylezli během jednoho dne.
internetový,adjective,internet,Mám nový internetový modem.
jaro,noun (n),spring,Jaro je krásné roční období.
hostel,noun (mi),hostel,Včera jsem přespal v hostelu.
dvoulůžkový,adjective,double (as in double room),Měli jsme rezervovaný dvoulůžkový pokoj.
karavan,noun (mi),caravan,Na dovolenou pojedeme s karavanem.
léto,noun (n),summer,Léto je moje oblíbené roční období.
kemp,noun (mi),camp,O víkendu pojedeme na kemp.
jednolůžkový,adjective,single room,V hotelu máme jednolůžkový pokoj.
lyžovat,verb,to ski,V zimě rád lyžuji.
platit,verb,to pay,Musím platit za jídlo.
málo,adverb,little,Málo lidí přišlo na oslavu.
osoba,noun (f),person,Každá osoba má své vlastní názory.
podzím,noun (mi),autumn,Podzim je moje oblíbené roční období.
poslat,verb,to send,Mohu poslat dopis.
přijet,verb,to arrive,On přijede na nádraží v pět hodin.
připlatek,noun (mi),surcharge,Při platbě musíš zaplatit také přirážku.
reservovat,verb,to reserve,Chci rezervovat stůl na večeři.
rozdíl,noun (mi),difference,Mezi těmito dvěma návrhy je výrazný rozdíl.
snídaně,noun (f),breakfast,Dnes ráno jsem měl skvělou snídani.
stránka,noun (f),page,Na stránce je mnoho informací.
wifi,noun (n),wifi,Doma mám rychlé wifi.
volný,adjective,free,Mám volný čas.
zima,noun (f),winter,Zima je moje oblíbené roční období.
udělat,verb,to do,Musím udělat domácí úkol.
zdarma,adverb,for free,Tato kniha je zdarma.
